filename,inference_time,robot_in_the_frame_or_not,detected_or_not,parallel_pixel_dist,size,perp_dist_to_the_robot_pred,dist_to_the_robot_gt,parallel_dist_to_the_robot_gt,perp_dist_to_the_robot_gt,angle
1708418246.182142_F.jpg,89.47968482971191,1,0,,,,15.51554908741563,2.191498,15.36,1.4290771386874075
1708418246.307792_B.jpg,93.87969970703125,0,0,,,,15.51554908741563,2.191498,15.36,1.4290771386874075
1708418247.163852_B.jpg,96.24052047729492,0,0,,,,15.424585289454786,2.328689,15.247788,1.4192442993791818
1708418247.186493_F.jpg,94.27261352539062,1,0,,,,15.424585289454786,2.328689,15.247788,1.4192442993791818
1708418248.170367_B.jpg,116.62673950195312,0,0,,,,15.379691885423583,2.401758,15.191,1.41399027469029
1708418248.189949_F.jpg,115.65589904785156,1,0,,,,15.379691885423583,2.401758,15.191,1.41399027469029
1708418249.178577_B.jpg,123.1536865234375,0,0,,,,15.381604240474172,2.418387,15.190298,1.4129153145816589
1708418249.238358_F.jpg,105.13854026794434,1,0,,,,15.381604240474172,2.418387,15.190298,1.4129153145816589
1708418250.212879_B.jpg,111.07230186462402,0,0,,,,15.324054097488759,2.528929,15.113939,1.4050078751916384
1708418250.348205_F.jpg,105.70931434631348,1,0,,,,15.324054097488759,2.528929,15.113939,1.4050078751916384
1708418251.178645_F.jpg,93.78838539123535,1,0,,,,15.270721187121614,2.613598,15.045399,1.3987986182340304
1708418251.319459_B.jpg,92.04578399658203,0,0,,,,15.270721187121614,2.613598,15.045399,1.3987986182340304
1708418252.152284_B.jpg,95.03030776977539,0,0,,,,15.161697338273342,2.750422,14.910139,1.388380400191739
1708418252.180945_F.jpg,94.26665306091309,1,0,,,,15.161697338273342,2.750422,14.910139,1.388380400191739
1708418253.172832_B.jpg,94.99406814575195,0,0,,,,15.10435255237976,2.868809,14.82941,1.379702827075303
1708418253.190409_F.jpg,89.45727348327637,1,0,,,,15.10435255237976,2.868809,14.82941,1.379702827075303
1708418254.180261_B.jpg,86.69781684875488,0,0,,,,15.016824752308626,3.011282,14.711805,1.3689002929763914
1708418254.238130_F.jpg,106.26769065856934,1,0,,,,15.016824752308626,3.011282,14.711805,1.3689002929763914
1708418255.215223_B.jpg,89.20121192932129,0,0,,,,14.91109655162336,3.162145,14.571947,1.3571071896986633
1708418255.355874_F.jpg,92.01788902282715,1,0,,,,14.91109655162336,3.162145,14.571947,1.3571071896986633
1708418256.181277_F.jpg,89.48063850402832,1,0,,,,14.826492614879152,3.282875,14.458479,1.347526436596829
1708418256.317429_B.jpg,92.89097785949707,0,0,,,,14.826492614879152,3.282875,14.458479,1.347526436596829
1708418257.162266_B.jpg,92.05222129821777,0,0,,,,14.735445329979681,3.410556,14.335322,1.3372258430087822
1708418257.188466_F.jpg,79.7414779663086,1,0,,,,14.735445329979681,3.410556,14.335322,1.3372258430087822
1708418258.174227_B.jpg,98.49119186401367,0,0,,,,14.686803909201346,3.552446,14.250696,1.3264932782066143
1708418258.192924_F.jpg,91.8722152709961,1,0,,,,14.686803909201346,3.552446,14.250696,1.3264932782066143
1708418259.177070_B.jpg,90.30866622924805,0,0,,,,14.64155013335545,3.63254,14.183781,1.320079903153719
1708418259.235178_F.jpg,93.26028823852539,1,0,,,,14.618395828124232,3.708714,14.140118,1.3142909237719658
1708418260.214413_B.jpg,89.51497077941895,0,0,,,,14.547296335259622,3.866493,14.024053,1.3017753666408518
1708418260.350778_F.jpg,114.80426788330078,1,0,,,,14.547296335259622,3.866493,14.024053,1.3017753666408518
1708418261.184696_F.jpg,114.68911170959473,1,0,,,,14.508823121312803,3.958746,13.958305,1.2944411555715274
1708418261.323196_B.jpg,113.3570671081543,0,1,66.1484612358941,3.682071837829426,4.003067493438721,14.481416845025663,4.019287,13.912468,1.289555528534805
1708418262.155027_B.jpg,112.73336410522461,0,0,,,,14.4558995873913,4.105224,13.860742,1.2828511475011468
1708418262.180320_F.jpg,93.84536743164062,1,0,,,,14.4558995873913,4.105224,13.860742,1.2828511475011468
1708418263.171680_B.jpg,94.09117698669434,0,1,65.94755384657118,3.5087668598862365,4.130992412567139,14.398229735413064,4.285838,13.745567,1.2685512831255203
1708418263.191400_F.jpg,92.26608276367188,1,0,,,,14.398229735413064,4.285838,13.745567,1.2685512831255203
1708418264.168850_B.jpg,88.81974220275879,0,0,,,,14.388337043325611,4.41,13.695844,1.2592842996691729
1708418264.230662_F.jpg,92.51761436462402,1,0,,,,14.388337043325611,4.41,13.695844,1.2592842996691729
1708418265.214021_B.jpg,88.05251121520996,0,0,,,,14.33446915989232,4.606252,13.57422,1.2436511221182596
1708418265.353438_F.jpg,86.78674697875977,1,0,,,,14.341873337213832,4.673059,13.559198,1.2389033996399015
1708418266.182412_F.jpg,97.5790023803711,1,0,,,,14.327622127368135,4.76318,13.512693,1.2318989892514622
1708418266.315968_B.jpg,88.26327323913574,0,0,,,,14.327622127368135,4.76318,13.512693,1.2318989892514622
